1961-Date / Box,Opponent,AB,R,H,2B,3B,HR,RBI,BB,IBB,K,HBP,SH,SF,AVG,OBP,SLG,Pos
1961-04-11,vs Twins,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,cf
1961-04-15,vs Athletics,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0.125,0,cf
1961-04-17,vs Athletics,3,1,3,0,0,1,3,1,0,0,0,0,0,0.3,0.417,0.6,cf
1961-04-20,vs Angels,3,2,2,0,0,2,5,1,0,0,0,0,0,0.385,0.5,1.077,cf
1961-04-20,vs Angels,2,1,1,0,0,0,0,2,0,0,0,0,0,0.4,0.55,1,cf
1961-04-21,at Orioles,4,1,1,0,0,1,2,0,0,1,0,0,0,0.368,0.5,1,cf
1961-04-22,at Orioles,3,1,1,0,0,0,0,1,0,1,0,0,0,0.364,0.5,0.909,cf
1961-04-22,at Orioles,3,1,1,1,0,0,0,1,0,0,0,0,0,0.36,0.5,0.88,cf
1961-04-23,at Orioles,4,1,1,0,0,1,1,0,0,2,0,0,0,0.345,0.472,0.897,cf
1961-04-24,at Tigers,3,1,1,0,0,0,0,1,0,0,0,0,0,0.344,0.475,0.844,cf
1961-04-26,at Tigers,6,3,2,0,0,2,4,0,0,0,0,0,0,0.342,0.457,0.921,cf
1961-04-27,vs Indians,3,0,1,0,1,0,2,0,0,0,0,0,1,0.341,0.44,0.927,cf
1961-04-29,vs Indians,3,1,1,0,0,0,0,1,1,0,0,0,0,0.341,0.444,0.886,cf
1961-04-30,at Senators,4,1,1,0,0,0,0,0,0,0,0,0,0,0.333,0.431,0.833,cf
1961-04-30,at Senators,4,0,1,0,0,0,0,0,0,0,0,0,0,0.327,0.419,0.788,cf
1961-05-02,at Twins,5,1,2,0,0,1,5,0,0,1,0,0,0,0.333,0.418,0.807,cf
1961-05-03,at Twins,5,1,2,0,0,0,0,0,0,0,0,0,0,0.339,0.417,0.774,cf
1961-05-04,at Twins,4,2,2,0,0,1,2,0,0,0,0,0,0,0.348,0.421,0.803,cf
1961-05-05,at Angels,4,1,0,0,0,0,0,1,1,1,0,0,0,0.329,0.407,0.757,cf
1961-05-06,at Angels,3,0,0,0,0,0,0,1,0,0,0,0,0,0.315,0.4,0.726,cf
1961-05-07,at Angels,4,0,0,0,0,0,0,0,0,3,0,0,0,0.299,0.382,0.688,cf
1961-05-09,at Athletics,4,0,0,0,0,0,0,0,0,1,0,0,0,0.284,0.366,0.654,cf
1961-05-10,at Athletics,3,2,1,0,0,0,0,2,0,0,0,0,0,0.286,0.378,0.643,cf
1961-05-12,vs Tigers,0,0,0,0,0,0,0,1,0,0,0,0,0,0.286,0.384,0.643,ph
1961-05-13,vs Tigers,2,0,0,0,0,0,0,2,0,0,0,0,0,0.279,0.388,0.628,cf
1961-05-14,vs Tigers,5,2,3,1,0,0,0,0,0,0,0,0,0,0.297,0.398,0.637,cf
1961-05-14,vs Tigers,3,3,2,0,0,0,1,2,0,1,0,0,0,0.309,0.416,0.638,cf
1961-05-16,vs Senators,3,1,1,0,0,1,1,1,0,0,0,0,0,0.309,0.419,0.66,cf
1961-05-17,vs Senators,4,1,1,0,0,0,0,1,0,1,0,0,0,0.307,0.418,0.644,cf
1961-05-19,at Indians,3,2,1,1,0,0,0,1,0,0,0,0,0,0.308,0.421,0.644,cf
1961-05-20,at Indians,3,0,1,0,0,0,0,1,0,0,0,0,0,0.308,0.423,0.636,cf
1961-05-21,vs Orioles,2,0,0,0,0,0,0,2,0,1,0,0,0,0.303,0.425,0.624,cf
1961-05-21,vs Orioles,4,0,2,2,0,0,0,0,0,2,0,0,0,0.31,0.428,0.637,cf
1961-05-22,vs Orioles,3,1,0,0,0,0,0,1,0,1,0,0,0,0.302,0.423,0.621,cf
1961-05-24,vs Red Sox,1,0,0,0,0,0,0,0,0,1,0,0,0,0.299,0.42,0.615,ph
1961-05-28,vs White Sox,3,1,2,0,0,0,0,1,0,1,0,0,0,0.308,0.429,0.617,cf
1961-05-29,at Red Sox,4,1,1,0,0,1,1,0,0,0,0,0,0,0.306,0.424,0.629,cf
1961-05-30,at Red Sox,5,2,2,0,0,2,4,0,0,1,0,0,0,0.31,0.423,0.667,cf
1961-05-31,at Red Sox,3,1,2,0,0,1,2,2,0,0,0,0,0,0.318,0.435,0.689,cf
1961-06-01,at Red Sox,5,1,2,1,0,0,0,0,0,2,0,0,0,0.321,0.434,0.686,cf
1961-06-02,at White Sox,3,0,0,0,0,0,0,1,0,2,0,0,0,0.314,0.429,0.671,cf
1961-06-03,at White Sox,5,0,0,0,0,0,0,0,0,1,0,0,0,0.303,0.417,0.648,cf
1961-06-04,at White Sox,3,1,1,0,0,0,1,2,0,2,0,0,0,0.304,0.422,0.642,cf
1961-06-05,vs Twins,4,1,1,0,0,1,2,0,0,1,0,0,0,0.303,0.418,0.651,cf
1961-06-05,vs Twins,4,0,0,0,0,0,0,0,0,1,0,0,0,0.295,0.41,0.635,cf
1961-06-06,vs Twins,2,0,1,0,0,0,0,3,0,1,0,0,0,0.297,0.42,0.633,cf
1961-06-07,vs Twins,3,1,1,0,0,0,0,1,0,0,0,0,0,0.298,0.421,0.627,cf
1961-06-08,vs Athletics,3,1,0,0,0,0,0,1,0,1,0,0,0,0.293,0.418,0.616,cf
1961-06-08,vs Athletics,4,1,1,1,0,0,0,0,0,0,0,0,0,0.292,0.415,0.613,cf
1961-06-09,vs Athletics,2,2,2,0,0,1,4,2,0,0,0,0,0,0.3,0.426,0.635,cf
1961-06-10,vs Athletics,3,3,2,0,1,1,1,1,0,0,0,0,0,0.306,0.432,0.665,cf
1961-06-11,vs Angels,4,0,1,0,0,0,0,0,0,0,0,0,0,0.305,0.429,0.655,cf
