Date,Box,Opponent,AB,R,H,2B,3B,HR,RBI,BB,IBB,K,HBP,SH,SF,AVG,OBP,SLG,Pos
04-11-1961,vs,Twins,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,rf
04-15-1961,vs,Athletics,3,1,1,0,0,0,0,1,0,0,0,0,0,0.167,0.286,0.167,rf
04-17-1961,vs,Athletics,3,0,0,0,0,0,0,1,0,0,0,0,0,0.111,0.273,0.111,rf
04-20-1961,vs,Angels,3,1,0,0,0,0,0,1,0,1,0,0,0,0.083,0.267,0.083,rf
04-20-1961,vs,Angels,4,1,1,0,0,0,0,0,0,0,0,0,0,0.125,0.263,0.125,rf
04-21-1961,at,Orioles,2,0,1,0,0,0,0,2,0,0,0,0,0,0.167,0.348,0.167,rf
04-22-1961,at,Orioles,3,0,0,0,0,0,1,0,0,1,0,0,1,0.143,0.296,0.143,rf
04-22-1961,at,Orioles,3,1,0,0,0,0,0,1,0,0,0,0,0,0.125,0.29,0.125,rf
04-23-1961,at,Orioles,3,0,1,0,0,0,0,1,0,1,0,0,0,0.148,0.314,0.148,rf
04-24-1961,at,Tigers,4,1,1,0,0,0,0,0,0,0,0,0,0,0.161,0.308,0.161,rf
04-26-1961,at,Tigers,4,2,2,0,0,1,1,1,0,0,0,0,0,0.2,0.341,0.286,rf
04-27-1961,vs,Indians,2,0,0,0,0,0,0,2,0,0,0,0,0,0.189,0.354,0.27,rf
04-29-1961,vs,Indians,3,0,1,0,0,0,2,0,0,0,0,0,1,0.2,0.346,0.275,rf
04-30-1961,at,Senators,5,0,1,0,0,0,0,0,0,0,0,0,0,0.2,0.333,0.267,rf
04-30-1961,at,Senators,4,0,1,1,0,0,0,0,0,0,0,0,0,0.204,0.328,0.286,rf
05-02-1961,at,Twins,3,2,1,1,0,0,0,2,0,1,0,0,0,0.212,0.348,0.308,rf
05-03-1961,at,Twins,4,1,1,0,0,1,3,1,0,0,0,0,0,0.214,0.352,0.357,rf
05-04-1961,at,Twins,4,0,0,0,0,0,0,0,0,1,0,0,0,0.2,0.333,0.333,rf
05-05-1961,at,Angels,1,2,0,0,0,0,0,3,0,0,0,0,0,0.197,0.354,0.328,rf
05-06-1961,at,Angels,3,2,2,0,0,1,2,1,0,0,0,0,0,0.219,0.373,0.391,rf
05-07-1961,at,Angels,3,0,2,0,0,0,0,1,0,0,0,0,0,0.239,0.391,0.403,rf
05-09-1961,at,Athletics,4,0,0,0,0,0,0,0,0,0,0,0,0,0.225,0.374,0.38,rf
05-10-1961,at,Athletics,4,1,1,0,0,0,1,0,0,1,1,0,0,0.227,0.375,0.373,rf
